animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
31163,Dimension W,Manga,Bandai Visual,Action,Orange,12,FALSE,2496,452,197976,671,93869,7.29
31164,Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,Game,,Slice of Life,,1,FALSE,10371,10929,353,0,42,5.24
31165,Meiji x Kokosake & anohana Receipt Oubo Campaign,Original,Aniplex,Drama,,2,FALSE,8775,5140,5311,5,1299,5.58
31166,Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,Original,VAP,Music,,1,FALSE,12348,11805,233,0,38,5.24
31168,Pokemon XY: Odemashi Ko Majin Hoopa,Game,,Action,OLM,1,FALSE,6261,6215,3301,0,1479,6.39
31170,Youkai Ninpouchou Jiraiya!,Manga,,Action,,1,FALSE,9101,13126,146,0,52,5.43
31173,Akagami no Shirayuki-hime 2nd Season,Manga,Hakusensha,Drama,Bones,12,FALSE,411,602,156856,1123,84164,8.12
31174,Osomatsu-san,Original,TV Tokyo,Comedy,Studio Pierrot,25,FALSE,393,930,106424,3180,37578,8.14
31177,Yakyuubu Aruaru,Book,,Sports,,3,FALSE,13585,11754,237,0,36,3.78
31178,Uta no☆Prince-sama♪ Maji Love Legend Star,Visual novel,Broccoli,Harem,A-1 Pictures,13,FALSE,2252,2634,23886,194,7168,7.36
31181,Owarimonogatari,Light novel,Aniplex,Mystery,Shaft,12,FALSE,134,384,224724,1426,104756,8.46
31196,Cardfight!! Vanguard G: GIRS Crisis-hen,Original,TV Tokyo,Action,TMS Entertainment,26,FALSE,4084,5112,5399,12,2183,6.88
31201,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,Manga,TV Asahi,Adventure,Shin-Ei Animation,1,FALSE,1997,8627,1118,1,461,7.41
31202,Chibi Maruko-chan Movie: Italia kara Kita Shounen,Manga,,Slice of Life,Nippon Animation,1,FALSE,5430,10560,419,0,103,6.58
31205,Lulin Da Maoxian,Original,,Adventure,Shanghai Hippo Animation,1,FALSE,11892,13771,115,0,20,5.15
31211,Choegang Top Plate,Original,Animax,Action,,26,FALSE,10672,12051,210,1,48,6.06
31221,Tantei Team KZ Jiken Note,Novel,,Mystery,Signal.MD,16,FALSE,6860,3745,11465,16,4384,6.25
31223,Phantasy Star Online 2 The Animation,Game,TBS,Action,Telecom Animation Film,12,FALSE,6036,1771,46275,92,18971,6.44
31227,Kindaichi Shounen no Jikenbo Returns 2nd Season,Manga,Yomiuri Telecasting,Mystery,Toei Animation,22,FALSE,911,4866,6086,31,2405,7.79
31229,Servamp,Manga,Frontier Works,Action,"""Brains Base""",12,FALSE,3304,712,134613,908,50773,7.1
31231,Pokemon the Movie XY&Z: Volcanion to Karakuri no Magearna,Game,,Adventure,OLM,1,FALSE,3852,3960,10105,6,4772,6.95
31233,Lu Shidai,Game,Penta Show Studios,Action,Haoliners Animation League,14,FALSE,4767,5851,3863,22,989,6.73
31234,Himouto! Umaru-chanS,Manga,,Comedy,Doga Kobo,12,FALSE,3705,2134,34348,70,15605,6.99
31235,Hikawa Maru Monogatari,Book,Mushi Production,Drama,,1,FALSE,11222,10556,420,0,15,6.47
31236,Chieri to Cherry,Original,Frontier Works,Adventure,,1,FALSE,10640,11332,286,0,16,5.88
31237,Ganbare-bu Next!,Original,Fuji TV,Comedy,Doga Kobo,6,FALSE,10977,13031,150,0,20,5.05
31238,Stitch! Perfect Memory,Unknown,,Kids,Shin-Ei Animation,1,FALSE,7818,11662,245,0,65,5.97
31239,Kotori Samba,Game,Shogakukan Music & Digital Entertainment,Music,,240,FALSE,11768,12876,158,0,24,4.92
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Light novel,TV Tokyo,Drama,White Fox,25,FALSE,180,31,837736,30409,509618,8.39
31244,Makura no Danshi: Sono Ato no Makura no Danshi,Original,Earth Star Entertainment,Slice of Life,feel.,1,FALSE,9786,7408,1965,0,359,4.97
31245,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,Music,Aniplex,Romance,Qualia Animation,1,FALSE,2043,1091,85553,338,37669,7.41
31246,Choegang Habche: Mix Master,Original,Sunwoo Entertainment,Adventure,,39,FALSE,6405,10791,374,1,74,6.35
31251,Mobile Suit Gundam: Iron-Blooded Orphans,Original,Sotsu,Action,Sunrise,25,FALSE,547,870,112766,1405,54108,8.02
31252,"Korekarasaki, Nando Anata to.",Unknown,,Slice of Life,,1,FALSE,8545,9280,798,0,444,5.68
31255,Hakusai Anime Bangai-hen,Unknown,,Comedy,,1,FALSE,11096,13177,143,0,26,4.19
31257,Spacy,Original,,Dementia,,1,FALSE,9521,11128,319,3,140,5.18
31258,Box,Original,,Dementia,,1,FALSE,10031,12049,212,0,92,4.68
31259,Thunder,Original,,Dementia,,1,FALSE,9685,11305,291,0,128,5.07
31261,Drill,Original,,Dementia,,1,FALSE,10086,11937,219,0,103,4.6
31262,Ghost,Original,,Dementia,,1,FALSE,9801,11439,270,0,115,4.95
31263,Grim,Original,,Dementia,,1,FALSE,9483,11464,268,0,103,5.2
31264,Shashinki,Original,,Dementia,,1,FALSE,9916,12884,158,0,60,4.84
31265,Shashinki '87,Original,,Dementia,,1,FALSE,9856,12885,158,0,63,4.89
31266,Wall,Original,,Dementia,,1,FALSE,9750,11934,219,0,85,5.01
31267,Akuma no Kairozu,Original,,Dementia,,1,FALSE,10123,11581,256,0,113,4.5
31268,Miira no Yume,Original,,Dementia,,1,FALSE,10050,11989,216,0,83,4.65
31269,Venus,Original,,Dementia,,1,FALSE,9797,12513,179,0,62,4.96
31280,Selector Destructed WIXOSS Movie,Card game,Warner Bros. Japan,Game,J.C.Staff,1,FALSE,2488,3492,13699,27,4025,7.3
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Manga,Fuji TV,Action,Toei Animation,1,FALSE,915,2863,20446,16,11445,7.79
31297,"Tokyo Ghoul: ""Pinto""",Light novel,,Action,Studio Pierrot,1,FALSE,1756,950,102150,311,57342,7.48
31298,Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,Unknown,,Comedy,,6,FALSE,2982,4453,7634,11,2591,7.17
31299,Tao Hua Yuan Ji,Other,,Fantasy,,1,FALSE,7321,11766,236,0,69,6.13
31300,Change Our Mirai!,Original,,Music,Trigger,1,FALSE,8517,7777,1653,1,824,5.69
